"","Species","German_name","Family","Suborder","germanRange","since","Flight_start","Flight_end","Taxon","Genus","Habitat","Endemic.to.Europe","EU.Red.List.Europe","Habitat.Directive","Threath.status.on.European.Red.List","species","lowerLat","upperLat","minLong","maxLong","nuEuroGrids","species..German.","development.time..max.","development.time..min.","devTime","Voltinism_Corbet","Migration","meanTemp","medTemp","sdTemp","medAb","medHw","Generalism","Flow","stream","river","pond","lake","marsh.wetlands","ditch","canal","fens","heath.moor","bog","woodland.forest","sand.gravel.pits.quarries","man.made","seasonal","Reference","VoltinismProp","Overwintering","Uni","RedList","GermanRedList"
"42","Ischnura pumilio","Kleine Pechlibelle ","Coenagrionidae","Zygoptera",51.8,34.1,6.3,8.2,"Nehalennia speciosa (Charpentier, 1840)","Ischnura","Standing","No","Least Concern","No","No","pumilio","32,75405","61,56265","-0,05460","9,99715",2161,"Kleine Pechlibelle",0.5,1,0.75,"U/B/M","",10.2130488068828,9.91210557295677,2.78235301582853,23.5,16,"generalist","standing, slow-flowing",0,0,2,0,0,2,0,0,0,0,0,2,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3.8,"Larva",4,"near threatened","V"
"43","Lestes barbarus","Südliche Binsenjungfer ","Lestidae","Zygoptera",37,39.3,7.2,8.3,"Onychogomphus uncatus (Charpentier, 1840)","Lestes","Standing","No","Least Concern","No","No","barbarus","34,57145","56,62356","-0,08245","9,99715",1855,"Südliche Binsenjungfer",0.08,0.15,0.12,"","",10.6795108989773,10.2710193978046,2.82810597951209,30.5,23.5,"specialist","standing",0,0,2,2,2,0,0,0,0,2,0,2,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"least concern","*"
"44","Lestes dryas","Glänzende Binsenjungfer ","Lestidae","Zygoptera",49.2,34.2,6.2,8.2,"Ophiogomphus cecilia (Fourcroy, 1785)","Lestes","Standing","No","Least Concern","No","No","dryas","35,43563","66,49027","-0,05460","9,98883",1881,"Glänzende Binsenjungfer",0.25,0.5,0.38,"U","",9.09966209826712,8.81809904220256,2.75410049852553,29.5,22.5,"specialist","standing",0,0,2,2,0,0,0,0,0,2,0,2,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"vulnerable","3"
"45","Lestes macrostigma","Dunkle Binsenjungfer ","Lestidae","Zygoptera",0.2,0.1,6.1,7.1,"Orthetrum albistylum (Selys, 1848)","Lestes","Standing","No","Vulnerable","No","Yes","macrostigma","34,57147","54,79640","-0,72204","9,87909",241,NA,NA,NA,NA,NA,NA,12.8116018420612,12.9396382885062,3.03572283261174,34.5,25.5,"specialist","standing",0,0,2,0,2,0,0,0,0,0,0,0,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"not listed",NA
"46","Lestes sponsa","Gemeine Binsenjungfer ","Lestidae","Zygoptera",85.7,68.5,6.2,8.3,"Orthetrum brunneum (Fonscolombe, 1837)","Lestes","Standing","No","Least Concern","No","No","sponsa","39,07593","67,83520","-0,01000","9,99715",2868,"Gemeine Binsenjungfer",0.25,0.5,0.38,"U","",8.05341741239076,8.29473904561305,2.62362217862861,29,20.5,"generalist","standing",0,0,2,2,0,2,0,0,0,2,0,0,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"least concern","*"
"47","Lestes virens","Kleine Binsenjungfer ","Lestidae","Zygoptera",38.9,27.6,8.1,9.1,"Orthetrum cancellatum (Linnaeus, 1758)","Lestes","Standing","No","Least Concern","No","No","virens","35,89856","61,09457","-0,14621","9,99715",1721,"Kleine Binsenjungfer",0.25,0.5,0.38,"","",10.1365584807327,9.62529356653283,2.83860027790192,28.5,21,"specialist","standing",0,0,2,2,2,0,0,0,2,2,2,0,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"least concern","*"
"48","Leucorrhinia albifrons","Östliche Moosjungfer ","Libellulidae","Anisoptera",5.5,4,6.2,7.2,"Orthetrum chrysostigma (Burmeister, 1839)","Leucorrhinia","Standing","No","Near Threatened","Yes","No","albifrons","43,09916","65,14504","-0,16958","9,44312",569,"Östliche Moosjungfer",2,2,2,"","",6.95286096764328,6.88618330053381,2.19139356362786,24.5,25.5,"specialist","standing",0,0,0,2,0,0,0,0,0,2,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.8,"Larva",1,"endangered","2"
"49","Leucorrhinia caudalis","Zierliche Moosjungfer ","Libellulidae","Anisoptera",6,4.5,6.1,6.2,"Orthetrum coerulescens (Fabricius, 1798)","Leucorrhinia","Standing","No","Near Threatened","Yes","No","caudalis","44,46198","64,70382","-0,16958","9,38105",551,"Zierliche Moosjungfer",2,2,2,"U","",7.53115789129078,7.74543793087914,2.4035022986678,24,30.5,"specialist","standing",0,0,0,2,0,0,0,0,0,2,2,1,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.8,"Larva",1,"vulnerable","3"
"50","Leucorrhinia dubia","Kleine Moosjungfer ","Libellulidae","Anisoptera",33.4,22.5,6.1,7.1,"Orthetrum nitidinerve (Selys, 1841)","Leucorrhinia","Standing","No","Least Concern","No","No","dubia","42,19963","70,08566","-0,27994","9,99715",1470,"Kleine Moosjungfer",2,4,3,"P/S","",5.97934917202491,6.65201410315469,3.04144927782442,24,25.5,"specialist","standing",0,0,2,1,0,0,0,2,0,2,2,0,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.6,"Larva",1,"vulnerable","3"
"51","Leucorrhinia pectoralis","Grosse Moosjungfer ","Libellulidae","Anisoptera",25.7,18.5,5.2,6.3,"Orthetrum sabina (Drury, 1773)","Leucorrhinia","Standing","No","Least Concern","Yes","No","pectoralis","40,88071","65,60104","-0,18085","9,97277",1120,"Große Moosjungfer",2,3,2.5,"P/S","",8.04771916243134,8.13271731192913,1.94988152533832,25,31.5,"specialist","standing, slow-flowing",0,0,2,2,0,2,2,2,0,2,2,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.8,"Larva",1,"vulnerable","3"
