Latitude,Longitude,MGRS.WGS84
66.49027,25.32743,35WMP2555575555
67.39525,26.43009,35WMQ7555475554
67.8352,25.23159,35WMR2555425554
68.28345,25.19693,35WMR2555475555
67.84372,26.41917,35WMR7555525555
68.73166,25.16077,35WMS2555425555
68.74057,26.39589,35WMS7555425555
69.63732,26.37051,35WMT7555425554
70.08566,26.35695,35WMT7555575554
64.70382,27.53599,35WNM2555475554
64.25517,27.52729,35WNM2555525554
64.24781,28.55865,35WNM7555525554
65.59322,28.63879,35WNN7555575554
66.49815,27.57428,35WNP2555475554
66.04163,28.66758,35WNP7555525555
67.39516,27.59578,35WNQ2555475555
66.94667,27.58482,35WNQ2555525555
66.93834,28.72862,35WNQ7555425555
67.38664,28.76102,35WNQ7555575554
68.29206,27.61911,35WNR2555475555
67.84362,27.60721,35WNR2555525554
68.28315,28.82994,35WNR7555575554
69.18886,27.64451,35WNS2555475555
68.74047,27.63154,35WNS2555525555
70.08555,27.67225,35WNT2555475554
69.63722,27.65807,35WNT2555525555
66.47379,29.62313,35WPP1681475173
66.02576,29.60334,35WPP1801025231
61.97217,30.06856,36VUP4635674550
62.8887,30.55204,36VUQ7555475555
63.33704,30.514,36VUR7555525555
63.78534,30.48511,36VUR7607275534
64.23359,30.4687,36WUS7724825486
60.21606,20.55886,34VDM7555475555
61.99152,23.39685,34VFP2555475554
61.11379,27.47419,35VNH2555575554
61.10736,28.40175,35VNH7555475554
61.5561,28.42195,35VNJ7555425555
62.0048,28.44283,35VNJ7555575554
61.09457,29.32867,35VPH2555575555
61.99152,29.39685,35VPJ2555475554
62.43994,29.43269,35VPK2555525554
62.88832,29.46977,35VPK2555575555
64.68181,24.45168,35WLM7842775438
66.47424,24.37686,35WLP8318775224
68.71375,24.26501,35WLS8922624908
66.49824,26.45066,35WMP7555475554
67.38692,25.26484,35WMQ2555475554
66.94676,26.44058,35WMQ7555425554
68.29216,26.40778,35WMR7555575555
69.18896,26.38348,35WMS7555475555
66.49,28.6975,35WNP7555575555
69.62767,28.945,35WNT7555525555
67.81761,29.68745,35WPR1320224988
61.99189,30.62432,36VUP7555575554
60.62724,23.87136,34VFN5708224699
61.54307,29.3622,35VPJ2555525555
62.90904,21.50296,34VEQ2555575554
62.43994,23.43269,34VFQ2555525554
62.88832,23.46977,34VFQ2555575555
60.65859,28.38221,35VNH7555525555
62.90211,28.48675,35VNK7555475555
62.44031,30.58879,36VUQ7555425554
62.01148,21.48809,34VEP2555575555
62.46028,21.4954,34VEQ2555525555
59.73071,23.83444,34VFM5934924826
61.09457,23.32867,34VFN2555575555
60.17948,24.14739,35VLG4178374817
61.52408,24.08925,35VLJ4520624621
60.66491,21.46758,34VEN2555525555
61.5561,22.42195,34VEP7555425555
62.45347,22.46442,34VEQ7555525554
62.44031,24.58879,35VLK7555425554
59.76115,19.67481,34VDM2555525555
59.76095,22.34494,34VEM7555425555
63.79928,22.53383,34VER7555575555
66.92178,23.64371,34WFV1561425114
60.62773,24.12864,35VLH4292024754
61.07593,24.10926,35VLH4406074689
61.97217,24.06856,35VLJ4635674550
61.56272,26.53987,35VMJ7555525554
62.90912,26.51889,35VMK7555475555
61.56265,27.48102,35VNJ2555425554
63.80649,27.51889,35VNL2555575554
63.35071,28.50988,35VNL7555525555
61.52357,29.91075,35VPJ5479624564
62.86768,29.97496,35VPK5133174344
62.4197,29.95283,35VPK5249024420
64.69656,25.43889,35WMM2555575554
65.15253,26.47864,35WMN7555425554
64.69632,28.58438,35WNM7555575555
64.23319,29.53129,35WPM2275325442
62.90233,31.53508,36VVQ2555575554
63.35094,31.5123,36VVR2555525554
63.33665,23.50815,34VFR2555525555
63.35778,27.51078,35VNL2555425554
66.0497,26.46035,35WMP7555525554
63.35071,22.50988,34VER7555525555
68.29206,21.61911,34WEA2555475555
59.73118,24.16556,35VLG4065224879
62.8887,24.55204,35VLK7555475555
66.04189,25.35691,35WMP2555425554
59.76704,21.45497,34VEM2555525555
63.78494,23.51488,34VFR2392875490
65.60104,27.55441,35WNN2555475554
65.12956,29.56597,35WPN2039025340
63.35786,26.5114,35VML7555425555
67.37018,24.33486,35WLQ8559175104
62.42022,30.04717,36VUQ4751124478
